id	targetkeyword	targetrank	targetrankred	targetkeyworddetail	targetrankdetail	perpetkeyword	perpetrank	perpetrankred	perpetkeyworddetail	perpetrankdetail	gendersclean	itypeclean	itypewide	institutionlocation	institutionclean	cleandiscipline	reported	reportedwide	someconsequence	institutionperpetrator	institutiontarget	city	state	country	zipcode_us	zipcode	zipcode_other
1420	Undergraduate Student	3	2	Undergraduate Student	2	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Field Work	Conference & Field Work		School for Field Studies	Biology	No	No	None								
1421	Graduate Student	4	6	Master Student	6.5	Tenured Professor	9	24	Associate Professor	24.5	Male	R2	Research University	Binghamton, New York	Brigham Young University	Sociology	Yes	Yes	None			Binghamton	New York	US	84604	84604	
1422	Staff	6	14.5	Staff	14.5	Staff	6	14.5	Staff	14.5	Male	R1	Research University			Biology	Unknown	Private	None								
1423	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Administration	10	26.5	Administration	26.5	Male	R1	Research University	Richmond, Virginia	Virginia Commonwealth University	Art History	Unknown	Private	None			Richmond	Virginia	US	23284	23284	
1424	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenured Professor	9	24	Tenured Professor	24	Male	Other University	Research University	(Canada)		Linguistics 	No	No	None					Canada			
1425	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Student	2	1.5	Student	1.5	Male	R1	Research University			History	Unknown	Private	None								
1426	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R2	Research University	Athens, Ohio	Ohio University	English	Yes	Yes	Unknown			Athens	Ohio	US	45701	45701	
1427	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Small Liberal Arts College	Other College	Davidson, North Carolina	Davidson College	Biology	No	No	None			Davidson	North Carolina	US	28036	28036	
1428	Undergraduate Student	3	2	Undergraduate Student	2	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Ivy League	Research University	New York, New York	Columbia University		Yes	Yes	None			New York	New York	US	10027	10027	
1429	Undergraduate Student	3	2	Undergraduate Student	2	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Small Liberal Arts College	Other College				No	No	None								
1430	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Small Liberal Arts College	Other College	Ashland, Ohio	Ashland University	Communication 	No	No	None			Ashland	Ohio	US	44805	44805	
1431	Undergraduate Student	3	2	Undergraduate Student	2	Tenured Professor	9	24	Tenured Professor	24	Male	Other University	Research University			Literature	No	No	None								
1432	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University			English	No	No	None								
1433	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Male	Other University	Research University			Middle Eastern Studies	Unknown	Unknown	None								
1434	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Male	R2	Research University	Newark, New Jersey	Rutgers University - Newark	Criminal Justice	No	No	None			Newark	New Jersey	US	07102	07102	
1435	Undergraduate Student	3	2	Undergraduate - Year 1	2.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Small Liberal Arts College	Other College	Halifax, Nova Scotia	Saint Mary's University	Philosophy	No	No	None			Halifax	Nova Scotia	Canada		B3H	B3H
1436	Graduate Student	4	6	Graduate Student	6	Faculty	7	16	Post-Doctoral	13.5	Male	Conference	Conference & Field Work			Neuroscience	Unknown	Unknown	Unknown								
1437	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Unknown	Unknown			Psychology	Unknown	Unknown	None								
1438	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenured Professor	9	24	Full Professor	25.5	Male	R1	Research University			Psychology	Yes	Yes	None								
1439	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenured Professor	9	24	Full Professor	25.5	Male	Conference	Conference & Field Work				Unknown	Unknown	Unknown								
1440	Faculty	7	16	Faculty	16	Faculty	7	16	Faculty	16	Male	Other University	Research University	Madrid, Spain	Universidad Autónoma de Madrid	Social Psychology	Unknown	Unknown	None			Madrid	Madrid	Spain		28049	28049
1441	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Female	R1	Research University				No	Private	Unknown								
1442	Staff	6	14.5	Staff	14.5	Staff	6	14.5	Staff	14.5	Male	R1	Research University			Humanities 	Yes	Yes	Yes								
1443	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Administration	10	26.5	Administration	26.5	Male	R1	Research University			Humanities 	Yes	Yes	Yes								
1444	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Administration	10	26.5	Administration	26.5	Male	Regional Teaching College	Other College			Counseling	No	No	None								
1445	Staff	6	14.5	Intern / Applicant	9	Administration	10	26.5	Administration	26.5	Male	R2	Research University	New York, New York	The New School	Theatre	Unknown	Unknown	None			New York	New York	US	10011	10011	
1446	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenured Professor	9	24	Full Professor	25.5	Male	R1	Research University			History	Unknown	Unknown	None								
1447	Undergraduate Student	3	2	Undergraduate Student	2	Tenured Professor	9	24	Tenured Professor	24	Male	Other University	Research University			Political Science	Yes	Yes	None								
1448	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenured Professor	9	24	Associate Professor	24.5	Male	R1	Research University			Sociology	Unknown	Private	None								
1449	Graduate Student	4	6	Graduate Student	6	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University	Tucson, Arizona	University of Arizona		Yes	Yes	None			Tucson	Arizona	US	85719	85719	
1450	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenured Professor	9	24	Tenured Professor	24	Male	R1	Research University			Humanities 	Unknown	Unknown	None								
1451	Graduate Student	4	6	Graduate Student	6	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Other University	Research University			Art	Yes	Yes	Unknown								
1452	Graduate Student	4	6	Master Student	6.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University			Communication 	Yes	Yes	Yes								
1453	Undergraduate Student	3	2	Undergraduate - Year 1	2.5	Tenured Professor	9	24	Full Professor	25.5	Female	Other University	Research University	Worcester, England	University of Worcester	English	No	No	None			Worcester	England	UK		WR2	WR2
1454	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Staff	6	14.5	Staff	14.5	Male	R2	Research University			Social Work	Yes	Yes	None								
1455	Faculty	7	16	Lecturer	16.5	Administration	10	26.5	Administration	26.5	Male	Small Liberal Arts College	Other College				No	Private	None								
1456	Staff	6	14.5	Staff	14.5	Undergraduate Student	3	2	Undergraduate Student	2	Male	R1	Research University				Yes	Yes	Yes								
1457	Graduate Student	4	6	Graduate Student	6	Tenured Professor	9	24	Tenured Professor	24	Male	Small Liberal Arts College	Other College	Northampton, Massachusetts	Smith College	English	Unknown	Unknown	None			Northampton	Massachusetts	US	01063	01063	
1458	Undergraduate Student	3	2	Undergraduate - Year 2	3.5	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Male	R1	Research University	Boulder, Colorado	University of Colorado - Boulder	English	No	No	None			Boulder	Colorado	US	80305	80305	
1459	Graduate Student	4	6	Graduate Student	6	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University	Tallahassee, Florida	Florida State University	History 	Unknown	Unknown	None			Tallahassee	Florida	US	32306	32306	
1460	Faculty	7	16	Lecturer	16.5	Tenured Professor	9	24	Associate Professor	24.5	Female	Conference	Conference & Field Work			English	No	No	None								
1461	Faculty	7	16	Researcher	14	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Male	Other University	Research University	Guelph, Ontario	University of Guelph	Science	Yes	Yes	None			Guelph	Ontario	Canada		N1G	N1G
1462	Staff	6	14.5	Intern / Applicant	9	Administration	10	26.5	Administration	26.5	Male	Other University	Research University	Kirksville, Missouri	A.T. Still University		Unknown	Unknown	Unknown			Kirksville	Missouri	US	85206	85206	
1463	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Administration	10	26.5	Administration	26.5	Male	Other University	Research University	(Ontario)			No	Private	None				Ontario	Canada			
1464	Graduate Student	4	6	Graduate Student	6	Graduate Student	4	6	Graduate Student	6	Male	R1	Research University			Art	Unknown	Unknown	None								
1465	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Graduate Student	4	6	Graduate Student	6	Female	R1	Research University	Lawrence, Kansas	University of Kansas	English	Yes	Yes	None			Lawrence	Kansas	US	66044	66044	
1466	Graduate Student	4	6	Graduate Student	6	Tenured Professor	9	24	Full Professor	25.5	Male	R1	Research University				No	No	None								
1467	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenured Professor	9	24	Tenured Professor	24	Male	R1	Research University			Art	No	No	None								
1468	Graduate Student	4	6	Graduate Student	6	Graduate Student	4	6	Graduate Student	6	Male	R1	Research University			Philosophy	Yes	Yes	Unknown								
1469	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenured Professor	9	24	Full Professor	25.5	Male	R1	Research University	(US)		Psychology	Yes	Yes	Yes					US			
1470	Faculty	7	16	Faculty	16	Student	2	1.5	Student	1.5	Male	R2	Research University	Norfolk, Virginia	Old Dominion University	Psychology	Yes	Yes	Yes			Norfolk	Virginia	US	23529	23529	
1471	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Tenured Professor	9	24	Tenured Professor	24	Male	R1	Research University			Art	Yes	Yes	Unknown								
1472	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Administration	10	26.5	Administration	26.5	Male	R1	Research University	Tempe, Arizona	Arizona State University	Humanities 	Unknown	Unknown	None			Tempe	Arizona	US	85281	85281	
1473	Unknown	0	0	Unknown	0	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Small Liberal Arts College	Other College				No	No	None								
1474	Undergraduate Student	3	2	Undergraduate Student	2	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Small Liberal Arts College	Other College	Sherman, Texas	Austin College	Social Sciences	Yes	Yes	None			Sherman	Texas	US	75090	75090	
1475	Graduate Student	4	6	Graduate Student	6	Graduate Student	4	6	TA / RA	7	Female	R1	Research University			Art	Unknown	Unknown	None								
1476	Graduate Student	4	6	Master Student	6.5	Staff	6	14.5	Staff	14.5	Male	Unknown	Research University			Ecology 	Unknown	Unknown	None								
1477	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Graduate Student	4	6	Graduate Student	6	Male	Unknown	Research University			Ecology 	Unknown	Unknown	None								
1478	Staff	6	14.5	Staff	14.5	Undergraduate Student	3	2	Undergraduate Student	2	Male	Unknown	Research University			Ecology 	Yes	Yes	None								
1479	Graduate Student	4	6	Graduate Student	6	Tenured Professor	9	24	Full Professor	25.5	Male	R1	Research University			Anthropology, Archaeology	No	No	None								
1480	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenured Professor	9	24	Tenured Professor	24	Male	R1	Research University	Boston, Massachusetts	Boston University	Sociology	Unknown	Unknown	None			Boston	Massachusetts	US	02215	02215	
1481	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Staff	6	14.5	Staff	14.5	Male	Field Work	Conference & Field Work			Oceanography	No	No	None								
1482	Graduate Student	4	6	Graduate Student	6	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University	Pittsburgh, Pennsylvania	University of Pittsburgh	Philosophy	Yes	Yes	Unknown			Pittsburgh	Pennsylvania	US	15261	15261	
1483	Graduate Student	4	6	Graduate Student	6	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University	Pittsburgh, Pennsylvania	University of Pittsburgh	Philosophy	Yes	Yes	Unknown			Pittsburgh	Pennsylvania	US	15261	15261	
1484	Faculty	7	16	Post-Doctoral	13.5	Tenured Professor	9	24	Tenured Professor	24	Male	R1	Research University	Los Angeles, California	University of Southern California	Philosophy	Unknown	Unknown	Unknown			Los Angeles	California	US	90089	90089	
1485	Graduate Student	4	6	Master Student	6.5	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Male	R2	Research University			English	Yes	Yes	None								
1486	Graduate Student	4	6	Master Student	6.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R2	Research University			Biology	No	No	None								
1487	Faculty	7	16	Lecturer	16.5	Student	2	1.5	Student	1.5	Male	R1	Research University			Communication 	Yes	Yes	Yes								
1488	Faculty	7	16	Lecturer	16.5	Tenured Professor	9	24	Full Professor	25.5	Male	Other University	Research University			History	Unknown	Unknown	Unknown								
1489	Graduate Student	4	6	Graduate Student	6	Graduate Student	4	6	Graduate Student	6	Male	R1	Research University			Physics	Unknown	Unknown	Unknown								
1490	Faculty	7	16	Post-Doctoral	13.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	R1	Research University			Neuroscience	No	No	None								
1491	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Undergraduate Student	3	2	Undergraduate - Year 4	5.5	Male	Conference	Conference & Field Work			Science	No	No	None								
1492	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Administration	10	26.5	Administration	26.5	Female	University of California	Research University	Santa Barbara, California	University of California - Santa Barbara	Women's & Gender Studies	No	No	None			Santa Barbara	California	US	93117	93117	
1493	Graduate Student	4	6	Graduate Student	6	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Small Liberal Arts College	Other College				Unknown	Unknown	None								
1494	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Male	Conference	Conference & Field Work	Santa Barbara, California	University of California - Santa Barbara	Sociology	Unknown	Unknown	None			Santa Barbara	California	US	93117	93117	
1495	Faculty	7	16	Faculty	16	Tenured Professor	9	24	Tenured Professor	24	Male	Russell Group	Research University	Leeds, England	University of Leeds	English	No	No	None			Leeds	England	UK		LS2	LS2
1496	Faculty	7	16	Faculty	16	Tenured Professor	9	24	Tenured Professor	24	Male	Other University	Research University	Egham, England	Royal Holloway, University of London	English	No	No	None			Egham	England	UK		TW20	TW20
1497	Doctoral Student (PhD)	5	8.5	Doctoral Student (PhD)	8.5	Tenure-Track Professor	8	17.5	Tenure-Track Professor	17.5	Male	Conference	Conference & Field Work		Society for the Scientific Study of Sexuality	Sociology	Unknown	Unknown	Unknown								
1498	Undergraduate Student	3	2	Undergraduate Student	2	Faculty	7	16	Lecturer	16.5	Male	R1	Research University	Eugene, Oregon	University of Oregon	English	Unknown	Unknown	None			Eugene	Oregon	US	97403	97403	
1499	Graduate Student	4	6	Graduate Student	6	Tenured Professor	9	24	Tenured Professor	24	Male	R2	Research University	Pittsburgh, Pennsylvania	Duquesne University	English	Yes	Yes	None			Pittsburgh	Pennsylvania	US	15219	15219	
1500	Undergraduate Student	3	2	Undergraduate - Year 1	2.5	Faculty	7	16	Lecturer	16.5	Male	R2	Research University			Information Science	No	No	None								
1501	Tenured Professor	9	24	Tenured Professor	24	Tenured Professor	9	24	Tenured Professor	24	Female	Other University	Research University			Literature	Yes	Yes	None								
1502	Undergraduate Student	3	2	Undergraduate Student	2	Tenured Professor	9	24	Tenured Professor	24	Male	Other University	Research University	St Andrews, Scotland	University of St Andrews	History 	No	Private	None			St Andrews	Scotland	UK		KY16	KY16
